Country name,Month,Monthly oil production
Canada,1973-01-01,8604000
Canada,1973-02-01,8671000
Canada,1973-03-01,8836000
Canada,1973-04-01,8647000
Canada,1973-05-01,8328000
Canada,1973-06-01,9141000
Canada,1973-07-01,8725000
Canada,1973-08-01,8705000
Canada,1973-09-01,8396000
Canada,1973-10-01,8720000
Canada,1973-11-01,8812000
Canada,1973-12-01,8831000
Canada,1974-01-01,8110000
Canada,1974-02-01,8105000
Canada,1974-03-01,8270000
Canada,1974-04-01,7955000
Canada,1974-05-01,7612000
Canada,1974-06-01,7394000
Canada,1974-07-01,7365000
Canada,1974-08-01,7225000
Canada,1974-09-01,7099000
Canada,1974-10-01,7021000
Canada,1974-11-01,6455000
Canada,1974-12-01,7471000
Canada,1975-01-01,7539000
Canada,1975-02-01,7108000
Canada,1975-03-01,6542000
Canada,1975-04-01,5792000
Canada,1975-05-01,5792000
Canada,1975-06-01,7104000
Canada,1975-07-01,7104000
Canada,1975-08-01,7123000
Canada,1975-09-01,7389000
Canada,1975-10-01,6939000
Canada,1975-11-01,7021000
Canada,1975-12-01,7602000
Canada,1976-01-01,6233000
Canada,1976-02-01,5889000
Canada,1976-03-01,5821000
Canada,1976-04-01,5405000
Canada,1976-05-01,6426000
Canada,1976-06-01,7021000
Canada,1976-07-01,6092000
Canada,1976-08-01,6020000
Canada,1976-09-01,6107000
Canada,1976-10-01,6581000
Canada,1976-11-01,6518000
Canada,1976-12-01,8144000
Canada,1977-01-01,6237000
Canada,1977-02-01,6523000
Canada,1977-03-01,6431000
Canada,1977-04-01,5918000
Canada,1977-05-01,6349000
Canada,1977-06-01,6828000
Canada,1977-07-01,5623000
Canada,1977-08-01,6412000
Canada,1977-09-01,6020000
Canada,1977-10-01,6010000
Canada,1977-11-01,6925000
Canada,1977-12-01,7457000
Canada,1978-01-01,6068000
Canada,1978-02-01,6475000
Canada,1978-03-01,6450000
Canada,1978-04-01,5439000
Canada,1978-05-01,5705000
Canada,1978-06-01,7375000
Canada,1978-07-01,5613000
Canada,1978-08-01,6208000
Canada,1978-09-01,5991000
Canada,1978-10-01,6596000
Canada,1978-11-01,7210000
Canada,1978-12-01,7317000
Canada,1979-01-01,6954000
Canada,1979-02-01,7544000
Canada,1979-03-01,7471000
Canada,1979-04-01,7254000
Canada,1979-05-01,7021000
Canada,1979-06-01,7336000
Canada,1979-07-01,7292000
Canada,1979-08-01,6958000
Canada,1979-09-01,7152000
Canada,1979-10-01,7423000
Canada,1979-11-01,7321000
Canada,1979-12-01,7413000
Canada,1980-01-01,7292000
Canada,1980-02-01,7215000
Canada,1980-03-01,7321000
Canada,1980-04-01,6692000
Canada,1980-05-01,7104000
Canada,1980-06-01,7365000
Canada,1980-07-01,7268000
Canada,1980-08-01,7123000
Canada,1980-09-01,6702000
Canada,1980-10-01,6150000
Canada,1980-11-01,6717000
Canada,1980-12-01,6397000
Canada,1981-01-01,6731000
